movie_title,rating,user_rating,genres,plot_keyword,director,top_5_casts,writer,votes,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
Stretch,6.5,31K,"['Comedy', 'Crime']","['foot chase', 'fbi agent', 'written by director', 'limousine', 'female nudity', 'cocaine', 'subtitled scene', 'male rear nudity']",Joe Carnahan,"['Jerry Corley', 'Rob Rose', 'Patrick Wilson', 'Ed Helms', 'James Badge Dale']",Joe Carnahan,31000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheech and Chong's Next Movie,6.0,14K,"['Comedy', 'Crime', 'Sci-Fi']","['payphone', 'blonde woman', 'police officer', 'pay phone', 'timeframe 1980s', 'best friend', 'hippie', 'fight']",Tommy Chong,"['Cheech Marin', 'Cheech Marin', 'Tommy Chong', 'Evelyn Guerrero', 'Tommy Chong']",Tommy Chong,14000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sightseers,6.5,29K,"['Adventure', 'Comedy', 'Crime']","['jealousy', 'satire', 'tourist', 'f rated']",Ben Wheatley,"['Steve Oram', 'Amy Jump', 'Alice Lowe', 'Kenneth Hadley', 'Steve Oram']",Alice Lowe,29000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Great Muppet Caper,7.1,15K,"['Adventure', 'Comedy', 'Crime']","['the muppets', 'caper', 'breaking the fourth wall', 'scene during end credits', 'baseball game', 'sequel', 'hot air balloon', 'rat']",Jim Henson,"['Jay Tarses', 'Jerry Juhl', 'Jim Henson', 'Frank Oz', 'Dave Goelz']",Tom Patchett,15000,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Pink Panther Strikes Again,7.2,30K,"['Comedy', 'Crime']","['oval office', 'watching tv', 'mental hospital', 'castle', 'farce', 'hitman']",Blake Edwards,"['Blake Edwards', 'Peter Sellers', 'Herbert Lom', 'Lesley-Anne Down', 'Blake Edwards']",Frank Waldman,30000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saving Grace,6.9,19K,"['Comedy', 'Crime']","['gay couple', 'plant', 'gay', 'england', 'london england', 'marijuana', 'drug dealer', 'debt']",Nigel Cole,"['Craig Ferguson', 'Brenda Blethyn', 'Craig Ferguson', 'Martin Clunes', 'Nigel Cole']",Mark Crowdy,19000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Love You to Death,6.4,15K,"['Comedy', 'Crime']","['murder plot', 'husband wife relationship', 'mother in law son in law relationship', 'stupidity', 'five word title', 'revenge', 'womanizer']",Lawrence Kasdan,"['Kevin Kline', 'Tracey Ullman', 'William Hurt', 'Lawrence Kasdan', 'John Kostmayer']",John Kostmayer,15000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kind Hearts and Coronets,8.0,37K,"['Comedy', 'Crime']","['actor playing multiple roles', 'widow', 'jealousy', 'prison', 'murder', 'black comedy', 'heir']",Robert Hamer,"['Robert Hamer', 'John Dighton', 'Dennis Price', 'Alec Guinness', 'Valerie Hobson']",Roy Horniman,37000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quick Change,6.8,21K,"['Comedy', 'Crime']","['airport', 'clown', 'bank robbery', 'escape', 'new york city', 'new york', 'cult film', 'hostage', 'mafia']",Howard Franklin,"['Jay Cronley', 'Howard Franklin', 'Bill Murray', 'Geena Davis', 'Randy Quaid']",Bill Murray,21000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flypaper,6.3,33K,"['Comedy', 'Crime', 'Mystery']","['2010s', 'bank robbery', 'bank', 'secret identity', 'murder', 'whodunit']",Rob Minkoff,"['Scott Moore', 'Patrick Dempsey', 'Ashley Judd', 'Tim Blake Nelson', 'Rob Minkoff']",Jon Lucas,33000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Revenge of the Pink Panther,6.6,22K,"['Comedy', 'Crime', 'Mystery']",['watching tv'],Blake Edwards,"['Ron Clark', 'Blake Edwards', 'Peter Sellers', 'Herbert Lom', 'Burt Kwouk']",Frank Waldman,22000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
One Night at McCool's,6.2,31K,"['Comedy', 'Crime']","['cult favorite', 'watching tv', 'leg spreading', 'fellatio', 'pantyhose', 'detective', 'nudity', 'robbery']",Harald Zwart,"['Liv Tyler', 'Matt Dillon', 'Mary Jo Smith', 'Harald Zwart', 'Stan Seidel']",Stan Seidel,31000,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
